"","species","genus","year","height_final","density","dbh","AG_biomass_MgC","date","ABG_biomass_MgC","BG_biomass_MgC"
"886","gabonensis","Irvingia","2015",6.17557944413344,0.6606522,43.5,0.00179189161576981,2015-06-03,0.00216818885508147,0.000376297239311659
"887","gabonensis","Irvingia","2015",5.87001861028988,0.6606522,39,0.00136906542503268,2015-06-03,0.00165656916428954,0.000287503739256862
"888","gabonensis","Irvingia","2015",7.22627574394054,0.6606522,61,0.0041231554632584,2015-06-03,0.00498901811054267,0.000865862647284265
"889","gabonensis","Irvingia","2015",7.92980988215911,0.6606522,74.5,0.00674886640423861,2015-06-03,0.00816612834912872,0.00141726194489011
"890","gabonensis","Irvingia","2015",8.8345466598174,0.6606522,94,0.0119700368272153,2015-06-03,0.0144837445609305,0.00251370773371521
"891","gabonensis","Irvingia","2015",5.90487115354729,0.6606522,39.5,0.00141273312176749,2015-06-03,0.00170940707733866,0.000296673955571172
"892","gabonensis","Irvingia","2015",4.35355238419755,0.6606522,20.5,0.000280547890270701,2015-06-03,0.000339462947227548,5.89150569568472e-05
"893","gabonensis","Irvingia","2015",4.59268522532594,0.6606522,23,0.000372544248734258,2015-06-03,0.000450778540968452,7.82342922341941e-05
"894","gabonensis","Irvingia","2015",5.15582355225013,0.6606522,29.5,0.000688014495932636,2015-06-03,0.00083249754007849,0.000144483044145854
"895","gabonensis","Irvingia","2015",7.92980988215911,0.6606522,74.5,0.00674886640423861,2015-06-03,0.00816612834912872,0.00141726194489011
"896","gabonensis","Irvingia","2015",6.10919645456564,0.6606522,42.5,0.00169206663411971,2015-06-03,0.00204740062728485,0.00035533399316514
"897","gabonensis","Irvingia","2015",4.86194307900457,0.6606522,26,0.000503978577684677,2015-06-03,0.000609814078998459,0.000105835501313782
"898","gabonensis","Irvingia","2015",7.00207568443822,0.6606522,57,0.00348844614413329,2015-06-03,0.00422101983440128,0.000732573690267991
"899","gabonensis","Irvingia","2015",6.24115045698369,0.6606522,44.5,0.00189513514171948,2015-06-03,0.00229311352148058,0.000397978379761092
"900","gabonensis","Irvingia","2015",4.90517055810377,0.6606522,26.5,0.000528203617577793,2015-06-03,0.000639126377269129,0.000110922759691336
"901","gabonensis","Irvingia","2015",6.67957106265702,0.6606522,51.5,0.00271655525603139,2015-06-03,0.00328703185979798,0.000570476603766591
"902","gabonensis","Irvingia","2015",NA,0.6606522,NA,NA,2015-06-03,NA,NA
