"","plot_code","tree_tag","dbh_year1","year1","month","day","agC_year1","year2","agC_year2","dbh_year2","AG_npp_per_tree_MgC_year","ABG_npp_per_tree_MgC_year","BG_npp_per_tree_MgC_year"
"1363","MNG-04","255",42.5,"2015","6","3",0.00169206663411971,"2013",0.00154865841764818,41,-7.8008940405528e-05,-9.43908178906889e-05,-1.63818774851609e-05
"1364","MNG-04","256",45,"2015","6","3",0.00194805021939969,"2013",0.000503978577684677,26,-0.00078552332224438,-0.000950483219915699,-0.00016495989767132
"1365","MNG-04","257",81.5,"2015","6","3",0.00842087894297344,"2013",0.0076773706621892,78.5,-0.000404441911305884,-0.00048937471268012,-8.49328013742356e-05
"1366","MNG-04","258",29,"2015","6","3",0.000659628803246718,"2013",0.000659628803246718,29,0,0,0
"1367","MNG-04","259",33,"2015","6","3",0.000907002686487076,"2013",0.000941250460539896,33.5,1.86295641270929e-05,2.25417725937824e-05,3.9122084666895e-06
"1368","MNG-04","260",36.5,"2015","6","3",0.00116281463427916,"2013",0.00108586313117979,35.5,-4.18588653223143e-05,-5.06492270400002e-05,-8.79036171768599e-06
"1369","MNG-04","261",20,"2015","6","3",0.000263982961143701,"2013",0.00029771530501578,21,1.83491885444247e-05,2.22025181387538e-05,3.85332959432918e-06
"1370","MNG-04","262",23,"2015","6","3",0.000372544248734258,"2013",0.000372544248734258,23,0,0,0
"1371","MNG-04","263",33,"2015","6","3",0.000907002686487076,"2013",NA,NA,NA,NA,NA
"1372","MNG-04","264",90,"2015","6","3",0.0107534737379908,"2013",NA,NA,NA,NA,NA
"1373","MNG-04","265",49.5,"2015","6","3",0.00246388650919629,"2013",0.00228392870861383,48,-9.78906068742141e-05,-0.000118447634317799,-2.0557027443585e-05
"1374","MNG-04","266",52,"2015","6","3",0.00278202294051342,"2013",0.00278202294051342,52,0,0,0
"1375","MNG-04","267",21,"2015","6","3",0.00029771530501578,"2013",0.000315491990362819,21.5,9.6698810009974e-06,1.17005560112068e-05,2.03067501020945e-06
"1376","MNG-04","268",25.5,"2015","6","3",0.000480426382445892,"2013",0.000503978577684677,26,1.28115518064927e-05,1.55019776858562e-05,2.69042587936347e-06
"1377","MNG-04","269",24,"2015","6","3",0.000413746100126684,"2013",0.000503978577684677,26,4.90832404003985e-05,5.93907208844822e-05,1.03074804840837e-05
"1378","MNG-04","270",43,"2015","6","3",0.00174155409297328,"2013",0.00174155409297328,43,0,0,0
"1379","MNG-04","271",56,"2015","6","3",0.00333953728005449,"2013",0.00326652646620545,55.5,-3.97152713187733e-05,-4.80554782957157e-05,-8.34020697694239e-06
"1380","MNG-04","272",26,"2015","6","3",0.000503978577684677,"2013",0.000480426382445892,25.5,-1.28115518064927e-05,-1.55019776858562e-05,-2.69042587936347e-06
"1381","MNG-04","273",29.5,"2015","6","3",0.000688014495932636,"2013",0.000688014495932636,29.5,0,0,0
"1382","MNG-04","274",33.5,"2015","6","3",0.000941250460539896,"2013",0.000907002686487076,33,-1.86295641270929e-05,-2.25417725937824e-05,-3.9122084666895e-06
"1383","MNG-04","275",22.5,"2015","6","3",0.000352899886098779,"2013",0.000372544248734258,23,1.06858306437403e-05,1.29298550789257e-05,2.24402443518546e-06
"1384","MNG-04","276",20,"2015","6","3",0.000263982961143701,"2013",0.000280547890270701,20.5,9.01072895880048e-06,1.09029820401486e-05,1.8922530813481e-06
"1385","MNG-04","277",25.5,"2015","6","3",0.000480426382445892,"2013",0.000480426382445892,25.5,0,0,0
"1386","MNG-04","95",28,"2015","6","3",0.000604975330726858,"2013",0.000372544248734258,23,-0.000126434195122651,-0.000152985376098408,-2.65511809757568e-05
"1387","MNG-04","96",36,"2015","6","3",0.00112394753568267,"2013",0.00112394753568267,36,0,0,0
"1388","MNG-04","97",25.5,"2015","6","3",0.000480426382445892,"2013",0.000457540987499398,25,-1.24488362972731e-05,-1.50630919197005e-05,-2.61425562242736e-06
"1389","MNG-04","98",20,"2015","6","3",0.000263982961143701,"2013",0.00029771530501578,21,1.83491885444247e-05,2.22025181387538e-05,3.85332959432918e-06
"1390","MNG-04","99",23,"2015","6","3",0.000372544248734258,"2013",0.000372544248734258,23,0,0,0
"1391","MNG-04","100",26.5,"2015","6","3",0.000528203617577793,"2013",0.000528203617577793,26.5,0,0,0
"1392","MNG-04","101",52,"2015","6","3",0.00278202294051342,"2013",0.00271655525603139,51.5,-3.56120787420915e-05,-4.30906152779307e-05,-7.47853653583921e-06
"1393","MNG-04","102",28.5,"2015","6","3",0.000631950980866259,"2013",0.000604975330726858,28,-1.4673788823966e-05,-1.77552844769988e-05,-3.08149565303285e-06
"1394","MNG-04","103",30.5,"2015","6","3",0.00074693202406242,"2013",0.000717113704633906,30,-1.62200992420377e-05,-1.96263200828656e-05,-3.40622084082791e-06
"1395","MNG-04","104",40.5,"2015","6","3",0.00150252484328905,"2013",0.00154865841764818,41,2.50950143682299e-05,3.03649673855582e-05,5.26995301732829e-06
"1396","MNG-04","105",58,"2015","6","3",0.00364123108423856,"2013",0.00379792355437764,59,8.52350992559781e-05,0.000103134470099734,1.78993708437554e-05
"1397","MNG-04","106",20,"2015","6","3",0.000263982961143701,"2013",0.000263982961143701,20,0,0,0
"1398","MNG-04","107",23,"2015","6","3",0.000372544248734258,"2013",0.000392824192056075,23.5,1.10315638039694e-05,1.3348192202803e-05,2.31662839883358e-06
"1399","MNG-04","108",37,"2015","6","3",0.00120246946004665,"2013",0.00124291700928736,37.5,2.20020200787759e-05,2.66224442953188e-05,4.62042421654294e-06
"1400","MNG-04","109",20,"2015","6","3",0.000263982961143701,"2013",0.000263982961143701,20,0,0,0
"1401","MNG-04","110",24.5,"2015","6","3",0.000435316284695424,"2013",0.000392824192056075,23.5,-2.31141785594074e-05,-2.79681560568829e-05,-4.85397749747554e-06
"1402","MNG-04","111",20,"2015","6","3",0.000263982961143701,"2013",0.000333884645345585,22,3.80240159965538e-05,4.60090593558301e-05,7.9850433592763e-06
"1403","MNG-04","112",46,"2015","6","3",0.00205648948631206,"2013",0.00205648948631206,46,0,0,0
