plot_code,year,month,day,ingrowth_core_num,is_stock,ingrowth_core_litterfall_g,soil_humidity_pcnt,soil_temperature_c,ol_layer_depth_cm,ml_layer_depth_cm,time_step,time_step_minutes,ol_under_2mm_g,ol_above_2mm_g,ml_under_2mm_g,ml_above_2mm_g,ol_2to3_mm_g,ml_2to3_mm_g,ol_3to4_mm_g,ml_3to4_mm_g,ol_4to5_mm_g,ml_4to5_mm_g,ol_above_5mm_g,ml_above_5mm_g,total_g,quality_code,comments,id
ABC-01,2013,2,16,9,Y,NA,NA,NA,30,NA,NA,10,0.95,NA,NA,NA,0.42,NA,NA,NA,NA,NA,NA,NA,1.37,NA,,ABC-01_2013_2_16_9_Y
ABC-01,2013,12,10,1,N,1.42,31.8,9,30,NA,1,10,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,ABC-01_2013_12_10_1_N
ABC-01,2013,12,10,1,N,NA,NA,NA,30,NA,2,10,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036,NA,NA,ABC-01_2013_12_10_1_N
ABC-01,2013,12,10,1,N,NA,NA,NA,30,NA,3,10,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,NA,NA,ABC-01_2013_12_10_1_N
ABC-01,2013,12,10,1,N,NA,NA,NA,30,NA,4,10,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001,NA,NA,ABC-01_2013_12_10_1_N
ABC-01,2013,12,10,10,N,2.64,30.1,8.1,25,5,1,10,0.03,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,NA,NA,ABC-01_2013_12_10_10_N
ABC-01,2013,12,10,10,N,NA,NA,NA,25,5,2,10,0.016,NA,0.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.014,NA,NA,ABC-01_2013_12_10_10_N
ABC-01,2013,12,10,10,N,NA,NA,NA,25,5,3,10,0.016,NA,0.994,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01,NA,NA,ABC-01_2013_12_10_10_N
ABC-01,2013,12,10,10,N,NA,NA,NA,25,5,4,10,0.015,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.005,NA,NA,ABC-01_2013_12_10_10_N
ABC-01,2013,12,10,11,N,NA,21.5,8.3,20,10,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,ABC-01_2013_12_10_11_N
ABC-01,2013,12,10,11,N,NA,NA,NA,20,10,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,ABC-01_2013_12_10_11_N
ABC-01,2013,12,10,11,N,NA,NA,NA,20,10,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,ABC-01_2013_12_10_11_N
ABC-01,2013,12,10,11,N,NA,NA,NA,20,10,4,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,ABC-01_2013_12_10_11_N
ABC-01,2013,12,10,12,N,5.72,35.8,8.8,10,20,1,10,0.012,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.032,NA,NA,ABC-01_2013_12_10_12_N
