"","flux_umolm2sec","Error","last_inputf","last_time","codew","plot_code","sub_plot","collar_number","replica","day","month","year","measurement_code","treatment_code_partitioning","flux_umolm2sec_modeled","Outlier_id","flux_umolm2sec_no_outlier","MgC_year_per_ha"
"60",0,"NA",NA,72,"XXX-01_21_9999_1_24_7_2013_TOTAL_NA","XXX-01","21",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"61",0,"NA",NA,81,"XXX-01_22_9999_1_24_7_2013_TOTAL_NA","XXX-01","22",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"62",0,"NA",NA,124,"XXX-01_23_9999_1_24_7_2013_TOTAL_NA","XXX-01","23",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"63",0,"NA",NA,124,"XXX-01_24_9999_1_24_7_2013_TOTAL_NA","XXX-01","24",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"64",0,"NA",NA,124,"XXX-01_25_9999_1_24_7_2013_TOTAL_NA","XXX-01","25",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"65",0,"NA",NA,100,"XXX-01_16_9999_1_24_7_2013_TOTAL_NA","XXX-01","16",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"66",0,"NA",NA,105,"XXX-01_17_9999_1_24_7_2013_TOTAL_NA","XXX-01","17",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"67",0,"NA",NA,96,"XXX-01_18_9999_1_24_7_2013_TOTAL_NA","XXX-01","18",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"68",0.00988,"NA",NA,124,"XXX-01_15_9999_1_24_7_2013_TOTAL_NA","XXX-01","15",9999,"1",24,7,2013,"TOTAL",NA,0.00988,-0.927267966320507,0.00988,0.0344009920916733
"69",0.01626,"NA",NA,124,"XXX-01_14_9999_1_24_7_2013_TOTAL_NA","XXX-01","14",9999,"1",24,7,2013,"TOTAL",NA,0.01626,-0.92208775505233,0.01626,0.0566153979160533
"70",0,"NA",NA,124,"XXX-01_13_9999_1_24_7_2013_TOTAL_NA","XXX-01","13",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"71",0,"NA",NA,67,"XXX-01_5_9999_1_24_7_2013_TOTAL_NA","XXX-01","5",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"72",0,"NA",NA,86,"XXX-01_6_9999_1_24_7_2013_TOTAL_NA","XXX-01","6",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"73",0,"NA",NA,124,"XXX-01_7_9999_1_24_7_2013_TOTAL_NA","XXX-01","7",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"74",0,"NA",NA,124,"XXX-01_4_9999_1_24_7_2013_TOTAL_NA","XXX-01","4",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"75",0,"NA",NA,124,"XXX-01_3_9999_1_24_7_2013_TOTAL_NA","XXX-01","3",9999,"1",24,7,2013,"TOTAL",NA,0,-0.935289986278124,0,0
"76",1.7481,"NA",0.24,67,"XXX-01_23_9999_1_26_8_2013_TOTAL_NA","XXX-01","23",9999,"1",26,8,2013,"TOTAL",NA,1.7481,0,1.7481,6.08667755824433
"77",1.23002,"NA",0.16,124,"XXX-01_1_9999_1_26_8_2013_TOTAL_NA","XXX-01","1",9999,"1",26,8,2013,"TOTAL",NA,1.23002,0,1.23002,4.28278424014169
"78",1.20011,"NA",0.16,124,"XXX-01_2_9999_1_26_8_2013_TOTAL_NA","XXX-01","2",9999,"1",26,8,2013,"TOTAL",NA,1.20011,0,1.20011,4.1786411557832
"79",0.88504,"NA",0.1,124,"XXX-01_8_9999_1_26_8_2013_TOTAL_NA","XXX-01","8",9999,"1",26,8,2013,"TOTAL",NA,0.88504,-0.216685882706376,0.88504,3.08160466000147
"80",1.40271,"NA",0.2,124,"XXX-01_9_9999_1_26_8_2013_TOTAL_NA","XXX-01","9",9999,"1",26,8,2013,"TOTAL",NA,1.40271,0,1.40271,4.88407040656994
"81",1.6642,"NA",0.23,124,"XXX-01_10_9999_1_26_8_2013_TOTAL_NA","XXX-01","10",9999,"1",26,8,2013,"TOTAL",NA,1.6642,0,1.6642,5.79454767600836
"82",2.18503,"NA",0.32,100,"XXX-01_11_9999_1_26_8_2013_TOTAL_NA","XXX-01","11",9999,"1",26,8,2013,"TOTAL",NA,2.18503,0,2.18503,7.6080161690353
"83",2.10323,"NA",0.3,105,"XXX-01_12_9999_1_26_8_2013_TOTAL_NA","XXX-01","12",9999,"1",26,8,2013,"TOTAL",NA,2.10323,0,2.10323,7.32319823855971
"84",2.78161,"NA",0.39,86,"XXX-01_19_9999_1_26_8_2013_TOTAL_NA","XXX-01","19",9999,"1",26,8,2013,"TOTAL",NA,2.78161,0.323225290473446,2.78161,9.68523720770438
"85",2.7647,"NA",0.39,86,"XXX-01_20_9999_1_26_8_2013_TOTAL_NA","XXX-01","20",9999,"1",26,8,2013,"TOTAL",NA,2.7647,0.309495294776756,2.7647,9.6263585866244
"86",1.30596,"NA",0.18,124,"XXX-01_21_9999_1_26_8_2013_TOTAL_NA","XXX-01","21",9999,"1",26,8,2013,"TOTAL",NA,1.30596,0,1.30596,4.54719834332405
"87",0.39821,"NA",0.06,124,"XXX-01_22_9999_1_26_8_2013_TOTAL_NA","XXX-01","22",9999,"1",26,8,2013,"TOTAL",NA,0.39821,-0.611965232500548,0.39821,1.3865201478568
"88",1.16495,"NA",0.16,124,"XXX-01_24_9999_1_27_8_2013_TOTAL_NA","XXX-01","24",9999,"1",27,8,2013,"TOTAL",NA,1.16495,0,1.16495,4.05621819202376
"89",1.24074,"NA",0.17,124,"XXX-01_25_9999_1_27_8_2013_TOTAL_NA","XXX-01","25",9999,"1",27,8,2013,"TOTAL",NA,1.24074,0,1.24074,4.32011001293752
"90",2.06163,"NA",0.3,110,"XXX-01_16_9999_1_27_8_2013_TOTAL_NA","XXX-01","16",9999,"1",27,8,2013,"TOTAL",NA,2.06163,0,2.06163,7.17835195606845
"91",1.78049,"NA",0.25,124,"XXX-01_17_9999_1_27_8_2013_TOTAL_NA","XXX-01","17",9999,"1",27,8,2013,"TOTAL",NA,1.78049,0,1.78049,6.19945570944365
"92",2.82737,"NA",0.41,81,"XXX-01_18_9999_1_27_8_2013_TOTAL_NA","XXX-01","18",9999,"1",27,8,2013,"TOTAL",NA,2.82737,0.360379909224511,2.82737,9.84456811844476
"93",1.18954,"NA",0.17,124,"XXX-01_13_9999_1_27_8_2013_TOTAL_NA","XXX-01","13",9999,"1",27,8,2013,"TOTAL",NA,1.18954,0,1.18954,4.14183766525597
"94",3.05894,"NA",0.45,72,"XXX-01_14_9999_1_27_8_2013_TOTAL_NA","XXX-01","14",9999,"1",27,8,2013,"TOTAL",NA,3.05894,0.548402091571196,3.05894,10.6508674847068
"95",1.83994,"NA",0.29,110,"XXX-01_15_9999_1_27_8_2013_TOTAL_NA","XXX-01","15",9999,"1",27,8,2013,"TOTAL",NA,1.83994,0,1.83994,6.4064535818981
"96",1.96608,"NA",0.32,100,"XXX-01_5_9999_1_27_8_2013_TOTAL_NA","XXX-01","5",9999,"1",27,8,2013,"TOTAL",NA,1.96608,0,1.96608,6.84565815097135
"97",1.80485,"NA",0.26,124,"XXX-01_6_9999_1_27_8_2013_TOTAL_NA","XXX-01","6",9999,"1",27,8,2013,"TOTAL",NA,1.80485,0,1.80485,6.28427434986402
"98",1.68789,"NA",0.29,110,"XXX-01_7_9999_1_27_8_2013_TOTAL_NA","XXX-01","7",9999,"1",27,8,2013,"TOTAL",NA,1.68789,0,1.68789,5.87703345562898
"99",1.56761,"NA",0.22,124,"XXX-01_4_9999_1_27_8_2013_TOTAL_NA","XXX-01","4",9999,"1",27,8,2013,"TOTAL",NA,1.56761,0,1.56761,5.45823271384898
"100",0.90548,"NA",0.12,124,"XXX-01_3_9999_1_27_8_2013_TOTAL_NA","XXX-01","3",9999,"1",27,8,2013,"TOTAL",NA,0.90548,-0.200089719960052,0.90548,3.15277432380246
"101",1.59614,"NA",0.22,124,"XXX-01_1_9999_1_24_9_2013_TOTAL_NA","XXX-01","1",9999,"1",24,9,2013,"TOTAL",NA,1.59614,0,1.59614,5.55757080133637
"102",0.80952,"NA",0.12,124,"XXX-01_2_9999_1_24_9_2013_TOTAL_NA","XXX-01","2",9999,"1",24,9,2013,"TOTAL",NA,0.80952,-0.278003994771072,0.80952,2.81865294717119
"103",0.89565,"NA",0.12,124,"XXX-01_8_9999_1_24_9_2013_TOTAL_NA","XXX-01","8",9999,"1",24,9,2013,"TOTAL",NA,0.89565,-0.208071142650677,0.89565,3.11854742580032
"104",2.10152,"NA",0.3,110,"XXX-01_9_9999_1_24_9_2013_TOTAL_NA","XXX-01","9",9999,"1",24,9,2013,"TOTAL",NA,2.10152,0,2.10152,7.31724422069769
"105",1.80696,"NA",0.25,124,"XXX-01_10_9999_1_24_9_2013_TOTAL_NA","XXX-01","10",9999,"1",24,9,2013,"TOTAL",NA,1.80696,0,1.80696,6.2916211204423
"106",1.99756,"NA",0.28,115,"XXX-01_11_9999_1_24_9_2013_TOTAL_NA","XXX-01","11",9999,"1",24,9,2013,"TOTAL",NA,1.99756,0,1.99756,6.95526778974118
"107",2.16966,"NA",0.31,105,"XXX-01_12_9999_1_24_9_2013_TOTAL_NA","XXX-01","12",9999,"1",24,9,2013,"TOTAL",NA,2.16966,0,2.16966,7.55449964591293
"108",2.26339,"NA",0.32,100,"XXX-01_19_9999_1_25_9_2013_TOTAL_NA","XXX-01","19",9999,"1",25,9,2013,"TOTAL",NA,2.26339,0,2.26339,7.88085642615104
"109",2.46715,"NA",0.35,91,"XXX-01_20_9999_1_25_9_2013_TOTAL_NA","XXX-01","20",9999,"1",25,9,2013,"TOTAL",NA,2.46715,0.0679009589074467,2.46715,8.59032465981494
"110",1.59102,"NA",0.21,124,"XXX-01_21_9999_1_25_9_2013_TOTAL_NA","XXX-01","21",9999,"1",25,9,2013,"TOTAL",NA,1.59102,0,1.59102,5.53974356656822
"111",0.50482,"NA",0.07,124,"XXX-01_22_9999_1_25_9_2013_TOTAL_NA","XXX-01","22",9999,"1",25,9,2013,"TOTAL",NA,0.50482,-0.525403739820235,0.50482,1.75772356555855
"112",0.93537,"NA",0.12,124,"XXX-01_23_9999_1_25_9_2013_TOTAL_NA","XXX-01","23",9999,"1",25,9,2013,"TOTAL",NA,0.93537,-0.175820673752243,0.93537,3.25684777052514
"113",2.95446,"NA",0.4,81,"XXX-01_24_9999_1_25_9_2013_TOTAL_NA","XXX-01","24",9999,"1",25,9,2013,"TOTAL",NA,2.95446,0.463570042464742,2.95446,10.2870804752191
"114",2.60966,"NA",0.34,96,"XXX-01_25_9999_1_25_9_2013_TOTAL_NA","XXX-01","25",9999,"1",25,9,2013,"TOTAL",NA,2.60966,0.183611289288005,2.60966,9.08652763380122
"115",2.56038,"NA",0.38,86,"XXX-01_16_9999_1_25_9_2013_TOTAL_NA","XXX-01","16",9999,"1",25,9,2013,"TOTAL",NA,2.56038,0.143598622940704,2.56038,8.91494049915773
"116",0.54809,"NA",0.07,124,"XXX-01_17_9999_1_25_9_2013_TOTAL_NA","XXX-01","17",9999,"1",25,9,2013,"TOTAL",NA,0.54809,-0.490270864965371,0.54809,1.9083845906402
"117",2.3808,"NA",0.32,100,"XXX-01_18_9999_1_25_9_2013_TOTAL_NA","XXX-01","18",9999,"1",25,9,2013,"TOTAL",NA,2.3808,0,2.3808,8.28966416719187
"118",1.68572,"NA",0.24,124,"XXX-01_13_9999_1_25_9_2013_TOTAL_NA","XXX-01","13",9999,"1",25,9,2013,"TOTAL",NA,1.68572,0,1.68572,5.86947777214326
"119",0.98063,"NA",0.13,124,"XXX-01_14_9999_1_25_9_2013_TOTAL_NA","XXX-01","14",9999,"1",25,9,2013,"TOTAL",NA,0.98063,-0.139072027671097,0.98063,3.4144377403702
"120",0.57182,"NA",0.07,124,"XXX-01_3_9999_1_25_9_2013_TOTAL_NA","XXX-01","3",9999,"1",25,9,2013,"TOTAL",NA,0.57182,-0.471003402050974,0.57182,1.99100964553245
"121",1.78638,"NA",0.26,124,"XXX-01_4_9999_1_25_9_2013_TOTAL_NA","XXX-01","4",9999,"1",25,9,2013,"TOTAL",NA,1.78638,0,1.78638,6.21996399319061
"122",2.16357,"NA",0.29,110,"XXX-01_7_9999_1_25_9_2013_TOTAL_NA","XXX-01","7",9999,"1",25,9,2013,"TOTAL",NA,2.16357,0,2.16357,7.53329498580784
"123",1.34126,"NA",0.18,124,"XXX-01_6_9999_1_25_9_2013_TOTAL_NA","XXX-01","6",9999,"1",25,9,2013,"TOTAL",NA,1.34126,0,1.34126,4.67010877053418
"124",1.78227,"NA",0.24,124,"XXX-01_5_9999_1_25_9_2013_TOTAL_NA","XXX-01","5",9999,"1",25,9,2013,"TOTAL",NA,1.78227,0,1.78227,6.20565345903102
"125",0.6525,"NA",0.08,124,"XXX-01_15_9999_1_25_9_2013_TOTAL_NA","XXX-01","15",9999,"1",25,9,2013,"TOTAL",NA,0.6525,-0.405495652032705,0.6525,2.27192786840251
"126",2.11164,"NA",0.29,110,"XXX-01_1_9999_1_19_10_2013_TOTAL_NA","XXX-01","1",9999,"1",19,10,2013,"TOTAL",NA,2.11164,0,2.11164,7.35248086441912
"127",1.16441,"NA",0.16,124,"XXX-01_2_9999_1_19_10_2013_TOTAL_NA","XXX-01","2",9999,"1",19,10,2013,"TOTAL",NA,1.16441,0,1.16441,4.05433797585681
"128",1.4998,"NA",0.2,124,"XXX-01_8_9999_1_19_10_2013_TOTAL_NA","XXX-01","8",9999,"1",19,10,2013,"TOTAL",NA,1.4998,0,1.4998,5.22212630962465
"129",1.75804,"NA",0.25,124,"XXX-01_9_9999_1_19_10_2013_TOTAL_NA","XXX-01","9",9999,"1",19,10,2013,"TOTAL",NA,1.75804,0,1.75804,6.12128746324345
"130",2.4132,"NA",0.34,96,"XXX-01_10_9999_1_19_10_2013_TOTAL_NA","XXX-01","10",9999,"1",19,10,2013,"TOTAL",NA,2.4132,0.0240965078230934,2.4132,8.4024771372091
"131",3.31655,"NA",0.42,76,"XXX-01_11_9999_1_19_10_2013_TOTAL_NA","XXX-01","11",9999,"1",19,10,2013,"TOTAL",NA,3.31655,0.757567330567306,3.31655,11.5478350527975
"132",1.44337,"NA",0.19,124,"XXX-01_12_9999_1_19_10_2013_TOTAL_NA","XXX-01","12",9999,"1",19,10,2013,"TOTAL",NA,1.44337,0,1.44337,5.02564372017798
"133",1.54448,"NA",0.22,124,"XXX-01_19_9999_1_19_10_2013_TOTAL_NA","XXX-01","19",9999,"1",19,10,2013,"TOTAL",NA,1.54448,0,1.54448,5.37769678803112
"134",3.55135,"NA",0.47,72,"XXX-01_20_9999_1_19_10_2013_TOTAL_NA","XXX-01","20",9999,"1",19,10,2013,"TOTAL",NA,3.55135,0.948212096361673,3.55135,12.3653808972433
"135",1.78823,"NA",0.25,124,"XXX-01_21_9999_1_19_10_2013_TOTAL_NA","XXX-01","21",9999,"1",19,10,2013,"TOTAL",NA,1.78823,0,1.78823,6.22640547450333
