"","plot_code","tree_tag","dbh","year1","month","day","agC_year1","year2","agC_year2","npp_per_tree_MgC_year"
"921","KOG_04","249",280,"2013","10","10",0.2089738151424,"2014",0.176817688525503,-0.0283502082491968
"922","KOG_04","250",242,"2013","10","10",0.074067922736544,"2014",0.0852173168579077,0.00982977984129895
"923","KOG_04","251",531,"2013","10","10",0.629612605734824,"2014",0.632433655149637,0.00248715709277
"924","KOG_04","252",165,"2013","10","10",0.0606184424322329,"2014",0.0606184424322329,0
"925","KOG_04","253",169,"2013","10","10",0.036751854275136,"2014",0.0347929603972603,-0.00172704411938313
"926","KOG_04","254",369,"2013","10","10",0.279851417334698,"2014",0.273945309069573,-0.00520707612746577
"927","KOG_04","255",430,"2013","10","10",0.508125790464,"2014",0.511035685771144,0.0025654874084722
"928","KOG_04","256",539,"2013","10","10",1.09479062075111,"2014",1.17647855270869,0.0720195535374845
"929","KOG_04","257",142,"2013","10","10",0.022314346608876,"2014",0.0247808268670382,0.00217455385079522
"930","KOG_04","258",450,"2013","10","10",0.521711766,"2014",0.53332650319108,0.0102400460742612
"931","KOG_04","259",130,"2013","10","10",0.018867502056,"2014",0.018867502056,0
"932","KOG_04","260",274,"2013","10","10",0.184953619141056,"2014",0.190067414416597,0.0045085393129773
"933","KOG_04","261",130,"2013","10","10",0.0240457684077,"2014",0.0256364881180152,0.00140244612141314
"934","KOG_04","262",150,"2013","10","10",0.035570663325,"2014",0.0362222509632572,0.000574467362231601
"935","KOG_04","263",103,"2013","10","10",0.00904851645269932,"2014",0.00958899212588481,0.000476506330223929
"936","KOG_04","264",144,"2013","10","10",0.0123741883964585,"2014",0.0126740613870278,0.000264380776709661
"937","KOG_04","265",390,"2013","10","10",0.165292409611272,"2014",0.175343921498143,0.00886184019011562
"938","KOG_04","266",162,"2013","10","10",0.053506307510784,"2014",0.0561290988739764,0.00231236436609955
"939","KOG_04","267",470,"2013","10","10",0.221627901379631,"2014",0.221627901379631,0
"940","KOG_04","268",183,"2013","10","10",0.0397021875952799,"2014",0.0425529205011478,0.0025133273203908
"941","KOG_04","269",487,"2013","10","10",1.2103651202523,"2014",1.2103651202523,0
"942","KOG_04","270",339,"2013","10","10",0.390334618739285,"2014",0.395695048010609,0.00472598232858267
"943","KOG_04","271",358,"2013","10","10",0.565116871408243,"2014",0.55775694103531,-0.00648882750270666
"944","KOG_04","272",516,"2013","10","10",0.84602944112256,"2014",0.861828337995644,0.0139289791272362
"945","KOG_04","201",270,"2013","10","10",0.139952518678888,"2015",0.150813931314203,0.00563127217597974
"946","KOG_04","202",355,"2013","10","10",0.22333037247872,"2015",0.246998823016005,0.0122712847245866
"947","KOG_04","203",118,"2013","10","10",0.0091697395288431,"2015",0.0109114958409895,0.000903041269791796
"948","KOG_04","204",345,"2013","10","10",0.205998054003225,"2015",0.243674849226034,0.0195341338868258
"949","KOG_04","205",156,"2013","10","10",0.0395322670046045,"2015",0.0458798101922694,0.00329098474928645
"950","KOG_04","206",474,"2013","10","10",0.52096050105696,"2015",0.52096050105696,0
"951","KOG_04","207",215,"2013","10","10",0.071455189284,"2015",0.0659646264915736,-0.00284666962959607
"952","KOG_04","208",160,"2013","10","10",0.037374314496,"2015",0.0401033199501385,0.00141489629369398
"953","KOG_04","209",117,"2013","10","10",0.006858140869476,"2015",0.00738870522717545,0.000275079532045882
