plot_code,sub_plot,tree_tag,year,month,day,wood_density_g_m2,tree_height_year,tree_height_m,pom_height_m,baseline_dbh_year,baseline_dbh_mm,dbh_nodirection_mm,dbh_northsouth_mm,dbh_westeast_mm,dendrometer_reading_replaced_mm,status_code_intact_moved_broken,mortality_code_alive_dead,quality_code,comments,date,dendrometer_reading_mm,family,genus,species
ABC-01,6,191,2014,3,6,NA,NA,NA,1.4,NA,NA,8.85,NA,NA,NA,NA,NA,NA,NA,06/03/2014,8.85,NA,NA,NA
ABC-01,6,194,2013,9,24,NA,NA,NA,1.4,NA,NA,1.24,NA,NA,NA,NA,NA,NA,NA,24/09/2013,1.24,NA,NA,NA
ABC-01,6,194,2013,12,10,NA,NA,NA,1.4,NA,NA,2.1,NA,NA,NA,NA,NA,NA,NA,10/12/2013,2.1,NA,NA,NA
ABC-01,6,194,2014,3,6,NA,NA,NA,1.4,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,06/03/2014,2.4,NA,NA,NA
ABC-01,6,199,2013,9,24,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0,NA,NA,NA
ABC-01,6,199,2013,12,10,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,10/12/2013,0,NA,NA,NA
ABC-01,6,199,2014,3,6,NA,NA,NA,1.4,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,06/03/2014,1.25,NA,NA,NA
ABC-01,1,20,2013,9,24,NA,NA,NA,1.4,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,24/09/2013,1.4,NA,NA,NA
ABC-01,1,20,2013,12,10,NA,NA,NA,1.4,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,10/12/2013,1.3,NA,NA,NA
ABC-01,1,20,2014,3,6,NA,NA,NA,1.4,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,06/03/2014,0.5,NA,NA,NA
ABC-01,6,200,2013,9,24,NA,NA,NA,1.5,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0,NA,NA,NA
ABC-01,6,200,2013,12,10,NA,NA,NA,1.5,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,10/12/2013,0.2,NA,NA,NA
ABC-01,6,200,2014,3,6,NA,NA,NA,1.5,NA,NA,1.85,NA,NA,NA,NA,NA,NA,NA,06/03/2014,1.85,NA,NA,NA
ABC-01,6,211,2013,9,24,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0,NA,NA,NA
ABC-01,6,211,2013,12,10,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,10/12/2013,0,NA,NA,NA
ABC-01,6,211,2014,3,6,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,06/03/2014,0,NA,NA,NA
ABC-01,6,215,2013,9,24,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0,NA,NA,NA
ABC-01,6,215,2013,12,10,NA,NA,NA,1.4,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,10/12/2013,1.8,NA,NA,NA
ABC-01,6,215,2014,3,6,NA,NA,NA,1.4,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,06/03/2014,2.5,NA,NA,NA
ABC-01,6,229,2013,9,24,NA,NA,NA,1.4,NA,NA,-1.38,NA,NA,NA,NA,NA,NA,NA,24/09/2013,-1.38,NA,NA,NA
ABC-01,6,229,2013,12,10,NA,NA,NA,1.4,NA,NA,-1.92,NA,NA,NA,NA,NA,NA,NA,10/12/2013,-1.92,NA,NA,NA
ABC-01,6,229,2014,3,6,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,06/03/2014,0,NA,NA,NA
ABC-01,1,23,2013,9,24,NA,NA,NA,1.4,NA,NA,0.64,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0.64,NA,NA,NA
ABC-01,1,23,2013,12,10,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,10/12/2013,0,NA,NA,NA
ABC-01,1,23,2014,3,6,NA,NA,NA,1.4,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,06/03/2014,3.1,NA,NA,NA
ABC-01,6,232,2013,9,24,NA,NA,NA,1.4,NA,NA,5.9,NA,NA,NA,NA,NA,NA,NA,24/09/2013,5.9,NA,NA,NA
ABC-01,6,232,2013,12,10,NA,NA,NA,1.4,NA,NA,6.65,NA,NA,NA,NA,NA,NA,NA,10/12/2013,6.65,NA,NA,NA
ABC-01,6,232,2014,3,6,NA,NA,NA,1.4,NA,NA,8.45,NA,NA,NA,NA,NA,NA,NA,06/03/2014,8.45,NA,NA,NA
ABC-01,7,239,2013,9,24,NA,NA,NA,1.35,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0,NA,NA,NA
ABC-01,7,239,2013,12,10,NA,NA,NA,1.35,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,10/12/2013,1.2,NA,NA,NA
ABC-01,7,240,2013,12,10,NA,NA,NA,1.5,NA,NA,-1.7,NA,NA,NA,NA,NA,NA,NA,10/12/2013,-1.7,NA,NA,NA
ABC-01,7,240,2014,3,6,NA,NA,NA,1.5,NA,NA,-1.02,NA,NA,NA,NA,NA,NA,NA,06/03/2014,-1.02,NA,NA,NA
ABC-01,7,249,2013,9,24,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0,NA,NA,NA
ABC-01,7,249,2013,12,10,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,10/12/2013,0,NA,NA,NA
ABC-01,7,249,2014,3,6,NA,NA,NA,1.4,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA,06/03/2014,0.86,NA,NA,NA
ABC-01,7,255,2013,9,24,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0,NA,NA,NA
ABC-01,7,255,2013,12,10,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,10/12/2013,0,NA,NA,NA
ABC-01,7,255,2014,3,6,NA,NA,NA,1.4,NA,NA,1.44,NA,NA,NA,NA,NA,NA,NA,06/03/2014,1.44,NA,NA,NA
ABC-01,7,261,2013,9,24,NA,NA,NA,1.4,NA,NA,-2.56,NA,NA,NA,NA,NA,NA,NA,24/09/2013,-2.56,NA,NA,NA
ABC-01,7,261,2013,12,10,NA,NA,NA,1.4,NA,NA,-1.38,NA,NA,NA,NA,NA,NA,NA,10/12/2013,-1.38,NA,NA,NA
ABC-01,7,261,2014,3,6,NA,NA,NA,1.4,NA,NA,-2.44,NA,NA,NA,NA,NA,NA,NA,06/03/2014,-2.44,NA,NA,NA
ABC-01,7,273,2013,12,10,NA,NA,NA,1.35,NA,NA,7.78,NA,NA,NA,NA,NA,NA,NA,10/12/2013,7.78,NA,NA,NA
ABC-01,7,273,2014,3,6,NA,NA,NA,1.35,NA,NA,7.76,NA,NA,NA,NA,NA,NA,NA,06/03/2014,7.76,NA,NA,NA
ABC-01,7,277,2013,12,10,NA,NA,NA,1.35,NA,NA,9.65,NA,NA,NA,NA,NA,NA,NA,10/12/2013,9.65,NA,NA,NA
ABC-01,7,277,2014,3,6,NA,NA,NA,1.35,NA,NA,14.7,NA,NA,NA,NA,NA,NA,NA,06/03/2014,14.7,NA,NA,NA
ABC-01,1,28,2013,9,24,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0,NA,NA,NA
ABC-01,1,28,2013,12,10,NA,NA,NA,1.4,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,10/12/2013,1.8,NA,NA,NA
ABC-01,1,28,2014,3,6,NA,NA,NA,1.4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,06/03/2014,3,NA,NA,NA
ABC-01,8,286,2013,9,24,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,24/09/2013,0,NA,NA,NA
ABC-01,8,286,2013,12,10,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,10/12/2013,0,NA,NA,NA
ABC-01,8,286,2014,3,6,NA,NA,NA,1.4,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,06/03/2014,0,NA,NA,NA
