"","plot_code","tree_tag","dbh","year","month","agC.1","agC.2","npp_day","NPPpertree_MgC_ha_yr"
"22","XXX_02",95,186,2014,10,0.352439351694817,0.357153399566131,1.14418637653252e-05,0.00417628027434368
"23","XXX_02",96,159,2014,10,0.227875046969961,0.242644095138123,3.58472042916535e-05,0.0130842295664535
"24","XXX_02",97,776,2014,10,9.27953734580302,9.36855281940447,0.000216056974760791,0.0788607957876887
"25","XXX_02",98,110,2014,10,0.0790669698275222,0.0808668556594202,4.36865493179132e-06,0.00159455905010383
"26","XXX_02",100,111,2014,10,0.1000676683483,0.1000676683483,0,0
"27","XXX_02",101,415,2014,10,1.99136590003465,2.00324224074733,2.88260696909646e-05,0.0105215154372021
"28","XXX_02",102,323,2014,10,1.23833916841142,1.23833916841142,0,0
"29","XXX_02",103,193,2014,10,0.386223569304866,0.391200439663182,1.2079782423095e-05,0.00440912058442966
"30","XXX_02",104,263,2014,10,0.599411547326242,0.605066133843127,1.37247245555461e-05,0.00500952446277433
"31","XXX_02",105,210,2014,10,0.343401718185547,0.347465594699737,9.86377794706133e-06,0.00360027895067739
"32","XXX_02",106,1198,2014,10,33.4082746967755,33.8242737652113,0.00100970647678579,0.368542864026813
"33","XXX_02",430,1085,2014,10,21.1404981573992,21.1404981573992,0,0
"34","XXX_02",432,277,2014,10,0.575909381689069,0.586287654981776,2.51899837201635e-05,0.00919434405785967
"35","XXX_02",434,634,2014,10,5.64881963558788,5.69298080071012,0.000107187293986013,0.0391233623048949
"36","XXX_02",437,196,2014,10,0.386223569304866,0.406358897884768,4.88721567473333e-05,0.0178383372127766
"37","XXX_02",597,292,2014,10,0.878301892771046,0.86364898582657,-3.55653081176598e-05,-0.0129813374629458
"38","XXX_02",754,166,2014,10,0.261885749516729,0.269827766988752,1.92767414369506e-05,0.00703601062448699
"39","XXX_02",755,747,2014,10,6.58383305721247,6.76089436121552,0.000429760446609335,0.156862563012407
"40","XXX_02",757,192,2014,10,0.27860599084945,0.27860599084945,0,0
"41","XXX_02",758,265,2014,10,0.715853500714674,0.715853500714674,0,0
"42","XXX_02",758,269,2014,10,0.715853500714674,0.742780497152939,6.53567874715162e-05,0.0238552274271034
"43","XXX_02",841,1032,2014,10,14.7810662301201,14.9950256425122,0.000519318962116916,0.189551421172674
"44","XXX_02",99,170,2014,10,0.277911182013981,0.286136783721249,1.99650526875452e-05,0.00728724423095398
"45","XXX_02",107,117,2014,10,0.115024945484479,0.122629891062991,1.84586057730868e-05,0.00673739110717669
"46","XXX_02",108,215,2014,10,0.516314587221243,0.510443063930412,-1.42512701233767e-05,-0.00520171359503248
"47","XXX_02",109,280,2014,10,0.706070899037374,0.706070899037374,0,0
"48","XXX_02",110,1049,2014,10,27.9250905303446,27.990811021303,0.000159515754753411,0.058223250484995
"49","XXX_02",422,362,2014,10,1.79366663834475,1.84346649406949,0.000120873436225103,0.0441188042221625
"50","XXX_02",426,246,2014,10,0.569861296895877,0.593358527260683,5.70321125359364e-05,0.0208167210756168
"51","XXX_02",427,235,2014,10,0.491497277904226,0.491497277904226,0,0
"52","XXX_02",750,352,2014,10,1.24108525265075,1.24108525265075,0,0
"53","XXX_02",763,394,2014,10,1.75157865504983,1.76258416132458,2.67123938707542e-05,0.00975002376282527
"54","XXX_02",842,115,2014,10,0.0844407581322521,0.0844407581322521,0,0
"55","XXX_02",843,226,2014,10,0.44639695831071,0.44639695831071,0,0
"56","XXX_02",111,410,2014,10,2.49058100740734,2.50561653491385,3.64939988022016e-05,0.0133203095628036
"57","XXX_02",112,193,2014,10,0.396215223813321,0.391200439663182,-1.21718061896593e-05,-0.00444270925922563
"58","XXX_02",113,177,2014,10,0.224829339581549,0.227990957244661,7.67382927939776e-06,0.00280094768698018
"59","XXX_02",114,170,2014,10,0.209412897418818,0.206407450199412,-7.29477480438259e-06,-0.00266259280359965
"60","XXX_02",116,276,2014,10,0.483391347131704,0.501101276333216,4.29852650522138e-05,0.015689621744058
"61","XXX_02",117,210,2014,10,0.252511665111564,0.255499932703316,7.25307667900883e-06,0.00264737298783822
"62","XXX_02",118,273,2014,10,0.479022933010964,0.487783348305776,2.12631439194448e-05,0.00776104753059735
"63","XXX_02",119,198,2014,10,0.401268012917008,0.416655317810447,3.73478274112591e-05,0.0136319570051096
"64","XXX_02",120,267,2014,10,0.706832324961976,0.726794295335563,4.84513844019098e-05,0.0176847553066971
"65","XXX_02",121,407,2014,10,1.89786116980624,1.90940328627563,2.80148457994878e-05,0.010225418716813
"66","XXX_02",122,155,2014,10,0.188304432138787,0.188304432138787,0,0
"67","XXX_02",123,NA,2014,10,0,NA,NA,NA
"68","XXX_02",124,862,2014,10,12.9171849948899,13.1037260701497,0.00045276960014509,0.165260904052958
"69","XXX_02",126,114,2014,10,0.0845190612498089,0.086374513082614,4.50352386603186e-06,0.00164378621110163
"70","XXX_02",127,141,2014,10,0.125668517158764,0.130172204372412,1.09312796447775e-05,0.00398991707034379
"71","XXX_02",129,227,2014,10,0.583556841392165,0.583556841392165,0,0
"72","XXX_02",130,1116,2014,10,28.4010176472978,28.4010176472978,0,0
"73","XXX_02",131,120,2014,10,0.0716692805600885,0.0702182432361236,-3.52193525234216e-06,-0.00128550636710489
"74","XXX_02",132,129,2014,10,0.151456611154235,0.157403238374839,1.44335612150571e-05,0.00526824984349586
"75","XXX_02",133,188,2014,10,0.205252910805634,0.219352695226058,3.42227777194765e-05,0.0124913138676089
"76","XXX_02",134,109,2014,10,0.081745300010314,0.0875662023845989,1.412840382108e-05,0.00515686739469419
"77","XXX_02",136,128,2014,10,0.147204786448777,0.153030874908412,1.41409914068804e-05,0.00516146186351135
"78","XXX_02",141,220,2014,10,0.30809634250927,0.389679082336614,0.000198016358804233,0.0722759709635449
"79","XXX_02",142,NA,2014,10,0,NA,NA,NA
"80","XXX_02",143,820,2014,10,10.9183261689774,10.9183261689774,0,0
"81","XXX_02",144,343,2014,10,1.16433333109402,1.16433333109402,0,0
"82","XXX_02",145,103,2014,10,0.0628270980124192,0.0643561513666604,3.71129454912905e-06,0.0013546225104321
"83","XXX_02",147,362,2014,10,1.83043961365017,1.83043961365017,0,0
"84","XXX_02",149,134,2014,10,0.0756376187065672,0.0830696891043976,1.80390058199767e-05,0.00658423712429151
"85","XXX_02",150,784,2014,10,13.0364497228016,13.3278301275866,0.000707233992196512,0.258140407151727
