"Stem tag grouping","tree_tag","T1","T2","X","Y","Family","original identification","Species","Tree Notes","dbh","POM","Extra D","Extra POM","Flag1","Flag2","Flag3","Flag4","LI","CI","CF","CD1","CD2","height_m","Flag5","Height Broken At","Census Notes","voucher code","voucher collected","census_date","plot_code","year","month","day"
NA,433,"7","",13,12,"Dipterocarpaceae",NA,"Parashorea malaanonan",NA,NA,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,434,"7","",NA,NA,"Indet",NA,"Indet indet",NA,NA,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,435,"7","",12,11,"Dipterocarpaceae",NA,"Shorea pilosa",NA,NA,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,436,"7","",12,14,"Indet",NA,"Indet indet",NA,NA,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,437,"7","",14,15,"Indet",NA,"Indet indet",NA,NA,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,438,"7","",17,14,"Dipterocarpaceae",NA,"Shorea fallax",NA,NA,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,439,"7","",13,19,"Indet",NA,"Indet indet",NA,NA,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,440,"7","",11,13,"Dipterocarpaceae",NA,"Parashorea malaanonan",NA,NA,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,441,"7","",9,10,"Euphorbiaceae",NA,"Mallotus stipularis",NA,NA,1300,NA,NA,"c","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
NA,442,"7","",NA,NA,"Indet",NA,"Indet indet",NA,NA,1300,NA,NA,"a","1",0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"20201230","XXX_02","2020","12","30"
