"","plot_code","year","month","sub_plot","Treatment_code","quadrat_num","Plants_type","dry_mass_g","note","is_stock","day","quadrat_area_m2","date","npp_g_m2","stock_MgC_ha"
"75","ABC-01",2018,12,"3","caged","C5","grass",22.24,"","Y",15,0.25,2018-12-15,88.96,0.4448
"76","ABC-01",2018,12,"3","open","D1","grass",32.9,"","Y",15,0.25,2018-12-15,131.6,0.658
"77","ABC-01",2018,12,"3","open","D2","grass",64.5,"","Y",15,0.25,2018-12-15,258,1.29
"78","ABC-01",2018,12,"3","open","D3","grass",90.35,"","Y",15,0.25,2018-12-15,361.4,1.807
"79","ABC-01",2018,12,"3","open","D4","grass",75.26,"","Y",15,0.25,2018-12-15,301.04,1.5052
"80","ABC-01",2018,12,"3","open","D5","grass",89.45,"","Y",15,0.25,2018-12-15,357.8,1.789
"81","ABC-01",2018,12,"3","caged","E1","grass",59.32,"","Y",15,0.25,2018-12-15,237.28,1.1864
"82","ABC-01",2018,12,"3","caged","E2","grass",26.52,"","Y",15,0.25,2018-12-15,106.08,0.5304
"83","ABC-01",2018,12,"3","caged","E3","grass",21.14,"","Y",15,0.25,2018-12-15,84.56,0.4228
"84","ABC-01",2018,12,"3","caged","E4","grass",27.48,"","Y",15,0.25,2018-12-15,109.92,0.5496
"85","ABC-01",2018,12,"3","caged","E5","grass",27.18,"","Y",15,0.25,2018-12-15,108.72,0.5436
"86","ABC-01",2018,12,"3","open","F1","grass",23.24,"","Y",15,0.25,2018-12-15,92.96,0.4648
"87","ABC-01",2018,12,"3","open","F2","grass",37.55,"","Y",15,0.25,2018-12-15,150.2,0.751
"88","ABC-01",2018,12,"3","open","F3","grass",26.06,"","Y",15,0.25,2018-12-15,104.24,0.5212
"89","ABC-01",2018,12,"3","open","F4","grass",26.64,"","Y",15,0.25,2018-12-15,106.56,0.5328
"90","ABC-01",2018,12,"3","open","F5","grass",44.23,"","Y",15,0.25,2018-12-15,176.92,0.8846
"91","ABC-01",2018,12,"4","caged","A1","grass",26.81,"","Y",15,0.25,2018-12-15,107.24,0.5362
"92","ABC-01",2018,12,"4","caged","A2","grass",53.74,"","Y",15,0.25,2018-12-15,214.96,1.0748
"93","ABC-01",2018,12,"4","caged","A3","grass",22.53,"","Y",15,0.25,2018-12-15,90.12,0.4506
"94","ABC-01",2018,12,"4","caged","A4","grass",26.24,"","Y",15,0.25,2018-12-15,104.96,0.5248
"95","ABC-01",2018,12,"4","caged","A5","grass",58.4,"","Y",15,0.25,2018-12-15,233.6,1.168
"96","ABC-01",2018,12,"4","open","B1","grass",26.1,"","Y",15,0.25,2018-12-15,104.4,0.522
"97","ABC-01",2018,12,"4","open","B2","grass",43.12,"","Y",15,0.25,2018-12-15,172.48,0.8624
"98","ABC-01",2018,12,"4","open","B3","grass",40.5,"","Y",15,0.25,2018-12-15,162,0.81
"99","ABC-01",2018,12,"4","open","B4","grass",19.96,"","Y",15,0.25,2018-12-15,79.84,0.3992
"100","ABC-01",2018,12,"4","open","B5","grass",25.09,"","Y",15,0.25,2018-12-15,100.36,0.5018
"101","ABC-01",2018,12,"4","caged","C1","grass",42.67,"","Y",15,0.25,2018-12-15,170.68,0.8534
"102","ABC-01",2018,12,"4","caged","C2","grass",72.85,"","Y",15,0.25,2018-12-15,291.4,1.457
"103","ABC-01",2018,12,"4","caged","C3","grass",0,"on mound","Y",15,0.25,2018-12-15,0,0
"104","ABC-01",2018,12,"4","caged","C4","grass",27.74,"","Y",15,0.25,2018-12-15,110.96,0.5548
"105","ABC-01",2018,12,"4","caged","C5","grass",52.6,"","Y",15,0.25,2018-12-15,210.4,1.052
