plot_code                 ,cwd_transect_num,transect_area_m2,measurement_num,year                     ,month                    ,day                      ,sub_transect_start_point,sub_transect_end_point,size_class,decay_class,diameter_top_1_cm,diameter_top_2_cm,diameter_bottom_1_cm,diameter_bottom_2_cm,length_cm,forest_weight_total_g,forest_weight_sample_g,dry_weight_sample_g,quality_code,is_stock,include_as_branch_npp,note,DaysBetween
LPG-01,1,200,135,2013,4,29,,,,3,,,,3.2,111,,,,,Y,N,,
LPG-01,1,200,136,2013,4,29,,,,2,,,,2.3,82,,,,,Y,N,,
LPG-01,1,200,137,2013,4,29,,,,2,,,,4,73,,,,,Y,N,,
LPG-01,1,200,138,2013,4,29,,,,1,,,,3.3,95,,,,,Y,N,,
LPG-01,1,200,139,2013,4,29,,,,4,,,,5.1,35,,,,,Y,N,,
LPG-01,1,200,140,2013,4,29,,,,3,,,,4.5,31,,,,,Y,N,,
LPG-01,1,200,141,2013,4,29,,,,3,,,,5.5,20,,,,,Y,N,,
LPG-01,1,200,142,2013,4,29,,,,3,,,,2.8,56,,,,,Y,N,,
LPG-01,1,200,143,2013,4,29,,,,3,,,,2.7,95,,,,,Y,N,,
LPG-01,1,200,144,2013,4,29,,,,4,,,,2.7,58,,,,,Y,N,,
LPG-01,1,200,145,2013,4,29,,,,4,,,,3.2,33,,,,,Y,N,,
LPG-01,1,200,146,2013,4,29,,,,5,,,,9.3,31,,,,,Y,N,,
LPG-01,1,200,147,2013,4,29,,,,4,,,,4.5,17,,,,,Y,N,,
LPG-01,1,200,148,2013,4,29,,,,4,,,,2.8,53,,,,,Y,N,,
LPG-01,1,200,149,2013,4,29,,,,4,,,,2.9,37,,,,,Y,N,,
LPG-01,1,200,150,2013,4,29,,,,3,,,,3.5,52,,,,,Y,N,,
LPG-01,1,200,151,2013,4,29,,,,4,,,,2.3,45,,,,,Y,N,,
LPG-01,1,200,152,2013,4,29,,,,5,,,,3.5,27,,,,,Y,N,,
LPG-01,1,200,153,2013,4,29,,,,4,,,,5.8,13,,,,,Y,N,,
LPG-01,1,200,154,2013,4,29,,,,3,,,,2.6,72,,,,,Y,N,,
LPG-01,1,200,155,2013,4,29,,,,2,,,,2.6,55,,,,,Y,N,,
LPG-01,1,200,156,2013,4,29,,,,4,,,,2.7,34,,,,,Y,N,,
LPG-01,1,200,157,2013,4,29,,,,2,,,,2.5,63,,,,,Y,N,,
LPG-01,1,200,158,2013,4,29,,,,5,,,,3.3,25,,,,,Y,N,,
LPG-01,1,200,159,2013,4,29,,,,4,,,,2.1,62,,,,,Y,N,,
LPG-01,1,200,160,2013,4,29,,,,2,,,,2.9,29,,,,,Y,N,,
LPG-01,1,200,161,2013,4,29,,,,2,,,,2.2,32,,,,,Y,N,,
LPG-01,1,200,162,2013,4,29,,,,3,,,,2.2,27,,,,,Y,N,,
LPG-01,1,200,163,2013,4,29,,,,3,,,,2,54,,,,,Y,N,,
LPG-01,1,200,164,2013,4,29,,,,3,,,,4.8,13,,,,,Y,N,,
LPG-01,1,200,165,2013,4,29,,,,4,,,,3.2,25,,,,,Y,N,,
LPG-01,1,200,166,2013,4,29,,,,2,,,,2.6,50,,,,,Y,N,,
LPG-01,1,200,167,2013,4,29,,,,3,,,,3.6,27,,,,,Y,N,,
LPG-01,1,200,168,2013,4,29,,,,3,,,,4.5,27,,,,,Y,N,,
LPG-01,1,200,169,2013,4,29,,,,3,,,,3,28,,,,,Y,N,,
LPG-01,1,200,170,2013,4,29,,,,2,,,,2.1,47,,,,,Y,N,,
LPG-01,1,200,171,2013,4,29,,,,4,,,,4.2,22,,,,,Y,N,,
LPG-01,1,200,172,2013,4,29,,,,4,,,,4.4,18,,,,,Y,N,,
LPG-01,1,200,173,2013,4,29,,,,3,,,,2,53,,,,,Y,N,,
LPG-01,1,200,174,2013,4,29,,,,3,,,,3.1,21,,,,,Y,N,,
LPG-01,1,200,175,2013,4,29,,,,4,,,,2.9,29,,,,,Y,N,,
LPG-01,1,200,176,2013,4,29,,,,3,,,,2.2,52,,,,,Y,N,,
LPG-01,1,200,177,2013,4,29,,,,3,,,,2,29,,,,,Y,N,,
LPG-01,1,200,178,2013,4,29,,,,2,,,,3.5,26,,,,,Y,N,,
LPG-01,1,200,179,2013,4,29,,,,4,,,,2.4,57,,,,,Y,N,,
LPG-01,1,200,180,2013,4,29,,,,4,,,,3.1,20,,,,,Y,N,,
LPG-01,1,200,181,2013,4,29,,,,2,,,,3.1,21,,,,,Y,N,,
LPG-01,1,200,182,2013,4,29,,,,4,,,,4.3,19,,,,,Y,N,,
LPG-01,1,200,183,2013,4,29,,,,5,,,,3.9,10,,,,,Y,N,,
LPG-01,1,200,184,2013,4,29,,,,3,,,,2.9,15,,,,,Y,N,,
LPG-01,1,200,185,2013,4,29,,,,4,,,,2.6,23,,,,,Y,N,,
LPG-01,1,200,186,2013,4,29,,,,2,,,,3,13,,,,,Y,N,,
LPG-01,1,200,187,2013,4,29,,,,4,,,,4.6,19,,,,,Y,N,,
LPG-01,1,200,188,2013,4,29,,,,5,,,,2.8,13,,,,,Y,N,,
LPG-01,1,200,189,2013,4,29,,,,4,,,,2.7,20,,,,,Y,N,,
LPG-01,1,200,190,2013,4,29,,,,4,,,,3.8,11,,,,,Y,N,,
LPG-01,1,200,191,2013,4,29,,,,4,,,,2.3,18,,,,,Y,N,,
LPG-01,1,200,192,2013,4,29,,,,4,,,,2.5,15,,,,,Y,N,,
LPG-01,1,200,193,2013,4,29,,,,4,,,,3.3,10,,,,,Y,N,,
LPG-01,1,200,194,2013,4,29,,,,4,,,,12,87,,,,,Y,N,,
LPG-01,1,200,195,2013,4,29,,,,3,,,,11,100,,,,,Y,N,,
LPG-01,1,200,196,2013,4,29,,,,4,,,,14,62,,,,,Y,N,,
LPG-01,2,200,197,2013,4,29,,,,4,,,,14.1,53,,,,,Y,N,,
LPG-01,2,200,198,2013,4,29,,,,4,,,,13,53,,,,,Y,N,,
LPG-01,2,200,199,2013,4,29,,,,4,,,,7.4,24,,,,,Y,N,,
LPG-01,2,200,200,2013,4,29,,,,5,,,,7.1,15,,,,,Y,N,,
LPG-01,2,200,201,2013,4,29,,,,5,,,,9.5,23,,,,,Y,N,,
LPG-01,2,200,202,2013,4,29,,,,4,,,,4.9,20,,,,,Y,N,,
LPG-01,2,200,203,2013,4,29,,,,2,,,,5.3,72,,,,,Y,N,,
LPG-01,2,200,204,2013,4,29,,,,4,,,,4.8,52,,,,,Y,N,,
LPG-01,2,200,205,2013,4,29,,,,4,,,,6.6,21,,,,,Y,N,,
LPG-01,2,200,206,2013,4,29,,,,4,,,,4.9,24,,,,,Y,N,,
LPG-01,2,200,207,2013,4,29,,,,4,,,,5.7,31,,,,,Y,N,,
LPG-01,2,200,208,2013,4,29,,,,4,,,,5.4,28,,,,,Y,N,,
LPG-01,2,200,209,2013,4,29,,,,4,,,,6.1,34,,,,,Y,N,,
LPG-01,2,200,210,2013,4,29,,,,4,,,,6.3,37,,,,,Y,N,,
LPG-01,2,200,211,2013,4,29,,,,4,,,,5.1,56,,,,,Y,N,,
LPG-01,2,200,212,2013,4,29,,,,3,,,,5.5,42,,,,,Y,N,,
LPG-01,2,200,213,2013,4,29,,,,4,,,,3.9,88,,,,,Y,N,,
LPG-01,2,200,214,2013,4,29,,,,5,,,,5.2,22,,,,,Y,N,,
LPG-01,2,200,215,2013,4,29,,,,4,,,,4,12,,,,,Y,N,,
LPG-01,2,200,216,2013,4,29,,,,5,,,,3.7,10,,,,,Y,N,,
LPG-01,2,200,217,2013,4,29,,,,3,,,,4.4,120,,,,,Y,N,,
LPG-01,2,200,218,2013,4,29,,,,4,,,,3.8,53,,,,,Y,N,,
LPG-01,2,200,219,2013,4,29,,,,4,,,,3.5,30,,,,,Y,N,,
LPG-01,2,200,220,2013,4,29,,,,4,,,,3.3,86,,,,,Y,N,,
LPG-01,2,200,221,2013,4,29,,,,4,,,,4.2,115,,,,,Y,N,,
LPG-01,2,200,222,2013,4,29,,,,2,,,,3.2,245,,,,,Y,N,,
LPG-01,2,200,223,2013,4,29,,,,3,,,,2.6,88,,,,,Y,N,,
LPG-01,2,200,224,2013,4,29,,,,2,,,,2.9,110,,,,,Y,N,,
LPG-01,2,200,225,2013,4,29,,,,4,,,,3.5,215,,,,,Y,N,,
LPG-01,2,200,226,2013,4,29,,,,4,,,,2.8,60,,,,,Y,N,,
LPG-01,2,200,227,2013,4,29,,,,2,,,,3.1,235,,,,,Y,N,,
LPG-01,2,200,228,2013,4,29,,,,4,,,,3.4,62,,,,,Y,N,,
LPG-01,2,200,229,2013,4,29,,,,3,,,,2.3,79,,,,,Y,N,,
LPG-01,2,200,230,2013,4,29,,,,3,,,,2.1,62,,,,,Y,N,,
LPG-01,2,200,231,2013,4,29,,,,3,,,,3.1,85,,,,,Y,N,,
LPG-01,2,200,232,2013,4,29,,,,2,,,,2.4,87,,,,,Y,N,,
LPG-01,2,200,233,2013,4,29,,,,4,,,,2.2,67,,,,,Y,N,,
LPG-01,2,200,234,2013,4,29,,,,3,,,,3.5,33,,,,,Y,N,,
LPG-01,2,200,235,2013,4,29,,,,4,,,,2.6,105,,,,,Y,N,,
LPG-01,2,200,236,2013,4,29,,,,4,,,,3.8,29,,,,,Y,N,,
LPG-01,2,200,237,2013,4,29,,,,5,,,,5.2,13,,,,,Y,N,,
LPG-01,2,200,238,2013,4,29,,,,5,,,,3.9,14,,,,,Y,N,,
LPG-01,2,200,239,2013,4,29,,,,3,,,,2.8,69,,,,,Y,N,,
LPG-01,2,200,240,2013,4,29,,,,2,,,,2.9,55,,,,,Y,N,,
LPG-01,2,200,241,2013,4,29,,,,3,,,,2.3,73,,,,,Y,N,,
LPG-01,2,200,242,2013,4,29,,,,4,,,,3.1,23,,,,,Y,N,,
LPG-01,2,200,243,2013,4,29,,,,4,,,,3.4,22,,,,,Y,N,,
LPG-01,2,200,244,2013,4,29,,,,4,,,,2,106,,,,,Y,N,,
LPG-01,2,200,245,2013,4,29,,,,2,,,,2.5,44,,,,,Y,N,,
LPG-01,2,200,246,2013,4,29,,,,3,,,,2.3,79,,,,,Y,N,,
LPG-01,2,200,247,2013,4,29,,,,2,,,,2.5,32,,,,,Y,N,,
LPG-01,2,200,248,2013,4,29,,,,4,,,,4.7,48,,,,,Y,N,,
LPG-01,2,200,249,2013,4,29,,,,2,,,,3.3,43,,,,,Y,N,,
LPG-01,2,200,250,2013,4,29,,,,4,,,,2.2,51,,,,,Y,N,,
LPG-01,2,200,251,2013,4,29,,,,3,,,,2.5,35,,,,,Y,N,,
LPG-01,2,200,252,2013,4,29,,,,2,,,,2.9,106,,,,,Y,N,,
LPG-01,2,200,253,2013,4,29,,,,4,,,,2.4,50,,,,,Y,N,,
LPG-01,2,200,254,2013,4,29,,,,4,,,,2.5,58,,,,,Y,N,,
LPG-01,2,200,255,2013,4,29,,,,4,,,,2.2,61,,,,,Y,N,,
LPG-01,2,200,256,2013,4,29,,,,3,,,,2.5,60,,,,,Y,N,,
LPG-01,2,200,257,2013,4,29,,,,4,,,,2.1,113,,,,,Y,N,,
LPG-01,2,200,258,2013,4,29,,,,4,,,,2.5,25,,,,,Y,N,,
LPG-01,2,200,259,2013,4,29,,,,5,,,,3.5,57,,,,,Y,N,,
LPG-01,2,200,260,2013,4,29,,,,4,,,,3,32,,,,,Y,N,,
LPG-01,2,200,261,2013,4,29,,,,4,,,,3.3,29,,,,,Y,N,,
LPG-01,2,200,262,2013,4,29,,,,3,,,,2.1,61,,,,,Y,N,,
LPG-01,2,200,263,2013,4,29,,,,2,,,,2.1,49,,,,,Y,N,,
LPG-01,2,200,264,2013,4,29,,,,4,,,,2.1,110,,,,,Y,N,,
LPG-01,2,200,265,2013,4,29,,,,4,,,,2.5,59,,,,,Y,N,,
LPG-01,2,200,266,2013,4,29,,,,1,,,,2.8,53,,,,,Y,N,,
LPG-01,2,200,267,2013,4,29,,,,4,,,,2.5,48,,,,,Y,N,,
LPG-01,2,200,268,2013,4,29,,,,4,,,,2,61,,,,,Y,N,,
LPG-01,2,200,269,2013,4,29,,,,3,,,,2.1,55,,,,,Y,N,,
LPG-01,2,200,270,2013,4,29,,,,3,,,,2.1,74,,,,,Y,N,,
LPG-01,2,200,271,2013,4,29,,,,2,,,,2.5,44,,,,,Y,N,,
LPG-01,2,200,272,2013,4,29,,,,3,,,,2.2,71,,,,,Y,N,,
