"","plot_code","cwd_transect_num","transect_area_m2","measurement_num","year","month","day","sub_transect_start_point","sub_transect_end_point","size_class","decay_class","diameter_top_1_cm","diameter_top_2_cm","diameter_bottom_1_cm","diameter_bottom_2_cm","length_cm","forest_weight_total_g","forest_weight_sample_g","dry_weight_sample_g","quality_code","is_stock","include_as_branch_npp","note","DaysBetween","diameter_cm","Volumn_cm3","surface_area_m2","WoodDensity_g_cm3","Live_wood_density","WD_ConversionFactorToAlive","Dry_mass_from_volumn_g","dry_mass_content","date","dry_mass_back_calculated_g","dry_mass_calculated_combined_g","dry_mass_when_alive","stock_nacromass_MgC_ha"
"93","XXX-04","19",4,3,2015,7,2,NA,NA,NA,3,NA,NA,NA,NA,NA,0,0,0,NA,"Y","N","",NA,NA,NA,NA,0.421,0.523,1.24228028503563,NA,0.471,2015-07-02,0,0,0,0
"94","XXX-04","19",4,4,2015,7,2,NA,NA,NA,4,NA,NA,NA,NA,NA,800,80,21.4,NA,"Y","N","",NA,NA,NA,NA,0.308,0.523,1.69805194805195,NA,0.2675,2015-07-02,214,214,363.383116883117,0.24075
"95","XXX-04","19",4,5,2015,7,2,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,0,NA,"Y","N","",NA,NA,NA,NA,0.185,0.523,2.82702702702703,NA,0.49126455026455,2015-07-02,0,0,0,0
"96","XXX-04","20",4,1,2015,7,2,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,NA,"Y","N","",NA,NA,NA,NA,0.501,0.523,1.0439121756487,NA,0.48048880414153,2015-07-02,0,0,0,0
"97","XXX-04","20",4,2,2015,7,2,NA,NA,NA,2,NA,NA,NA,NA,NA,0,0,0,NA,"Y","N","",NA,NA,NA,NA,0.434,0.523,1.20506912442396,NA,0.48048880414153,2015-07-02,0,0,0,0
"98","XXX-04","20",4,3,2015,7,2,NA,NA,NA,3,NA,NA,NA,NA,NA,0,0,0,NA,"Y","N","",NA,NA,NA,NA,0.421,0.523,1.24228028503563,NA,0.471,2015-07-02,0,0,0,0
"99","XXX-04","20",4,4,2015,7,2,NA,NA,NA,4,NA,NA,NA,NA,NA,0,0,0,NA,"Y","N","",NA,NA,NA,NA,0.308,0.523,1.69805194805195,NA,0.479201862160039,2015-07-02,0,0,0,0
"100","XXX-04","20",4,5,2015,7,2,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,0,NA,"Y","N","",NA,NA,NA,NA,0.185,0.523,2.82702702702703,NA,0.49126455026455,2015-07-02,0,0,0,0
"101","XXX-04","21",4,1,2015,7,2,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,NA,"Y","N","",NA,NA,NA,NA,0.501,0.523,1.0439121756487,NA,0.48048880414153,2015-07-02,0,0,0,0
"102","XXX-04","21",4,2,2015,7,2,NA,NA,NA,2,NA,NA,NA,NA,NA,0,0,0,NA,"Y","N","",NA,NA,NA,NA,0.434,0.523,1.20506912442396,NA,0.48048880414153,2015-07-02,0,0,0,0
"103","XXX-04","21",4,3,2015,7,2,NA,NA,NA,3,NA,NA,NA,NA,NA,0,0,0,NA,"Y","N","",NA,NA,NA,NA,0.421,0.523,1.24228028503563,NA,0.471,2015-07-02,0,0,0,0
"104","XXX-04","21",4,4,2015,7,2,NA,NA,NA,4,NA,NA,NA,NA,NA,4600,460,198.2,NA,"Y","N","",NA,NA,NA,NA,0.308,0.523,1.69805194805195,NA,0.430869565217391,2015-07-02,1982,1982,3365.53896103896,2.22975
"105","XXX-04","21",4,5,2015,7,2,NA,NA,NA,5,NA,NA,NA,NA,NA,0,0,0,NA,"Y","N","",NA,NA,NA,NA,0.185,0.523,2.82702702702703,NA,0.49126455026455,2015-07-02,0,0,0,0
"106","XXX-04","22",4,1,2015,7,2,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,0,NA,"Y","N","",NA,NA,NA,NA,0.501,0.523,1.0439121756487,NA,0.48048880414153,2015-07-02,0,0,0,0
"107","XXX-04","22",4,2,2015,7,2,NA,NA,NA,2,NA,NA,NA,NA,NA,0,0,0,NA,"Y","N","",NA,NA,NA,NA,0.434,0.523,1.20506912442396,NA,0.48048880414153,2015-07-02,0,0,0,0
"108","XXX-04","22",4,3,2015,7,2,NA,NA,NA,3,NA,NA,NA,NA,NA,700,100,47.1,NA,"Y","N","",NA,NA,NA,NA,0.421,0.523,1.24228028503563,NA,0.471,2015-07-02,329.7,329.7,409.579809976247,0.3709125
